"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"1","Please Give",4033574,"R",2010,"87",6.6,87,11359,142
"2","Dark Water",25473352,"PG-13",2005,"92",5.1,80,199,15
"3","The Accused",32078318,"R",1988,"101",6.8,91,960,22
"4","The Lost City",2484186,"R",2006,"300",3.6,25,32,83
"5","The Bridge of San Luis Rey",49981,"PG",2005,"86",7,4,89,24
"6","Criminal",929233,"R",2004,"87",5.3,69,46,124
"7","The Adventures of Mark Twain",849915,"G",1986,"130",7.1,80,1239,5
"8","Deep Blue",132261,"G",2005,"\N",2.9,67,101,52
"9","Bandwagon",44544,"R",1997,"103",7,80,655,5
"10","Whore",1008404,"R",1991,"85",5.6,0,3884,6
"11","Wild Side",15355,"NR",2005,"96",5.6,63,2281,16
"12","A Tale of Two Pizzas",14831,"PG",2005,"82",5.6,38,163,8
"13","Running Scared",38500726,"R",1986,"98",7.3,41,33,131
"14","Going the Distance",17804299,"R",2010,"90",7.3,0,33,5
"15","Ultraviolet",18535812,"PG-13",2006,"80",5,8,169,83
"16","Home of the Brave",51708,"R",2006,"88",7,93,733,15
"17","Malevolence",127287,"R",2004,"96",5.9,33,48,18
"18","Eternal",28089,"R",2005,"107",4.8,21,1453,34
"19","The Matador",12594698,"R",2005,"96",6.7,75,45218,156
"20","Smile",32833,"PG-13",2005,"113",7.1,15,2372,13
"21","Saint Ralph",489389,"PG-13",2005,"98",7.4,64,6099,69
"22","The Baxter",181872,"PG-13",2005,"91",6.5,32,4833,75
"23","Oliver Twist",2080321,"PG-13",2005,"\N",5.2,61,38,143
"24","G",3020784,"R",2005,"109",5.2,24,1434,29
"25","Alfie",13399812,"PG",2004,"114",7,96,14804,27
"26","The Second Chance",463542,"PG-13",2006,"102",6.4,44,1307,16
"27","Moonlight",51570,"R",2006,"96",6.9,60,20,10
"28","Aliens",85160248,"R",1986,"137",8.4,97,711979,76
"29","When Do We Eat?",431513,"R",2006,"50",6.1,42,15,38
"30","The Mostly Unfabulous Social Life of Ethan Green",153122,"R",2006,"88",6,30,2044,27
"31","Dirty",274245,"R",2006,"94",5.8,21,134,28
"32","Stay Alive",23086480,"PG-13",2006,"85",5,10,32611,59
"33","All of Me",36403064,"PG",1984,"70",5.9,85,113,41
"34","Dreamland",6383,"PG-13",2006,"71",7.2,67,8,15
"35","All the King's Men",7221458,"PG",2006,"110",7.4,95,15209,42
"36","Street Fight",4779,"NR",2006,"83",7.9,100,2067,22
"37","The Motel",51540,"NR",2006,"75",6.6,88,1402,32
"38","Requiem",9600,"NR",2006,"103",7.1,86,167,36
"39","Bon Cop Bad Cop",12665721,"R",2006,"117",6.7,78,12740,9
