,movie_title,content_rating,genres.x,directors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,rank,studio,lifetime_gross,year,tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres.y,averageRating,numVotes
1,Please Give,R,Comedy,Nicole Holofcener,4/30/10,9/4/12,90,Sony Pictures Classics,Certified-Fresh,87,142,Upright,64,11574,44,123,19,6040,SPC,4033574,2010,tt0878835,movie,Please Give,0,2010,\N,87,"Comedy,Drama",6.6,11359
2,Dark Water,PG-13,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,1/19/02,3/23/17,100,Toho Company Ltd,Fresh,80,15,Upright,66,21475,3,12,3,3016,BV,25473352,2005,tt0163596,movie,Dark Water,0,2001,\N,92,"Crime,Drama,Mystery",5.1,199
3,The Accused,R,"Drama, Mystery & Suspense",Jonathan Kaplan,10/14/88,10/4/16,110,Paramount Pictures,Fresh,91,22,Upright,79,20821,1,20,2,2576,Par.,32078318,1988,tt0040071,movie,The Accused,0,1949,\N,101,"Drama,Film-Noir,Romance",6.8,960
4,The Lost City,R,Drama,Andy Garcia,9/3/05,3/23/17,143,Magnolia Pictures,Rotten,25,83,Upright,64,25944,37,21,62,6651,Magn.,2484186,2006,tt0011413,movie,The Lost City,0,1920,\N,300,"Action,Adventure",3.6,32
5,The Bridge of San Luis Rey,PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,6/10/05,7/24/14,124,Fine Line Features,Rotten,4,24,Spilled,35,1935,13,1,23,12568,FL,49981,2005,tt0019722,movie,The Bridge of San Luis Rey,0,1929,\N,86,Drama,7,89
6,Criminal,R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",9/24/04,4/27/16,87,Warner Bros. Pictures,Fresh,69,124,Spilled,57,6711,35,85,39,8025,WIP,929233,2004,tt0109502,movie,Criminal,0,1994,\N,87,"Crime,Drama",5.3,46
7,The Adventures of Mark Twain,G,"Action & Adventure, Animation, Kids & Family",Will Vinton,3/1/85,2/4/17,86,Eureka Entertainment Ltd,Fresh,80,5,Upright,82,1046,1,4,1,8150,Atl,849915,1986,tt0036582,movie,The Adventures of Mark Twain,0,1944,\N,130,"Adventure,Biography,Drama",7.1,1239
8,Deep Blue,G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",6/17/05,12/7/16,90,Miramax Flims,Fresh,67,52,Upright,80,4692,18,35,17,10963,Mira.,132261,2005,tt0124359,movie,Deep Blue,0,2001,\N,\N,"Romance,Thriller",2.9,101
9,Bandwagon,R,Comedy,John Schultz,9/12/97,,103,Avalanche Entertainment,Fresh,80,5,Upright,91,386,1,4,1,12750,Lions,44544,1997,tt0112454,movie,Bandwagon,0,1996,\N,103,"Comedy,Music",7,655
10,Whore,R,"Art House & International, Drama",María Lidón,4/16/04,2/4/14,77,Dolores Pictures LLC,Rotten,0,6,Upright,63,914,4,0,6,7941,Trim.,1008404,1991,tt0103253,movie,Whore,0,1991,\N,85,Drama,5.6,3884
11,Wild Side,NR,"Art House & International, Drama",Sébastien Lifshitz,6/10/05,10/25/05,94,Wellspring,Fresh,63,16,Upright,80,867,4,10,6,14373,Wells,15355,2005,tt0114941,movie,Wild Side,0,1995,\N,96,"Action,Thriller",5.6,2281
12,A Tale of Two Pizzas,PG,Comedy,Vincent Sassone,11/7/03,1/16/18,82,,Rotten,38,8,,NA,NA,5,3,5,14422,CCr.,14831,2005,tt0337728,movie,A Tale of Two Pizzas,0,2003,\N,82,"Comedy,Romance",5.6,163
13,Running Scared,R,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,2/24/06,10/1/08,121,New Line Cinema,Rotten,41,131,Upright,79,135400,39,54,77,2186,MGM,38500726,1986,tt0069201,movie,Running Scared,0,1972,\N,98,Drama,7.3,33
14,Going the Distance,R,Comedy,Mark Griffiths,8/20/04,3/10/17,93,Séville Pictures,Rotten,0,5,Upright,61,13033,2,0,5,3689,WB (NL),17804299,2010,tt0079220,movie,Going the Distance,0,1979,\N,90,Documentary,7.3,33
15,Ultraviolet,PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,3/3/06,4/16/12,88,Sony Pictures,Rotten,8,83,Spilled,30,279994,21,7,76,3627,SGem,18535812,2006,tt0105681,movie,Ultraviolet,0,1992,\N,80,"Action,Thriller",5,169
16,Home of the Brave,R,"Action & Adventure, Documentary, Drama, Special Interest",Paola di Florio,5/11/04,4/3/16,75,Emerging Pictures,Fresh,93,15,Spilled,48,866,7,14,1,12502,MGM,51708,2006,tt0041481,movie,Home of the Brave,0,1949,\N,88,"Drama,War",7,733
17,Malevolence,R,Horror,Stevan Mena,9/10/04,3/30/17,90,Anchor Bay Entertainment,Rotten,33,18,Upright,83,2622,4,6,12,11026,PZR,127287,2004,tt0113747,movie,Malevolence,0,1999,\N,96,Drama,5.9,48
18,Eternal,R,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez",8/26/04,9/23/16,108,Regent Releasing,Rotten,21,34,Spilled,39,1295,10,7,27,13461,Reg.,28089,2005,tt0382019,movie,Eternal,0,2004,\N,107,"Horror,Mystery,Thriller",4.8,1453
19,The Matador,R,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard",1/27/06,11/18/16,97,The Weinstein Company,Certified-Fresh,75,156,Upright,65,73701,39,117,39,4371,Wein.,12594698,2005,tt0365485,movie,The Matador,0,2005,\N,96,"Comedy,Crime,Thriller",6.7,45218
20,Smile,PG-13,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",4/8/05,11/18/16,107,Dark Forest Releasing,Rotten,15,13,Upright,66,2059,6,2,11,13201,Free,32833,2005,tt0073722,movie,Smile,0,1975,\N,113,Comedy,7.1,2372
21,Saint Ralph,PG-13,"Comedy, Drama",Michael McGowan,8/5/05,5/11/17,98,IDP,Fresh,64,69,Upright,85,6203,26,44,25,8943,IDP,489389,2005,tt0384488,movie,Saint Ralph,0,2004,\N,98,"Comedy,Drama,Sport",7.4,6099
