"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"1",1,"Please Give","R","Comedy",90,"Certified-Fresh",87,142,4033574,2010,6.6,11359
"2",2,"Dark Water","PG-13","Horror",100,"Fresh",80,15,25473352,2005,5.1,199
"3",3,"The Accused","R","Drama",110,"Fresh",91,22,32078318,1988,6.8,960
"4",4,"The Lost City","R","Drama",143,"Rotten",25,83,2484186,2006,3.6,32
"5",5,"The Bridge of San Luis Rey","PG","Drama",124,"Rotten",4,24,49981,2005,7,89
"6",6,"Criminal","R","Drama",87,"Fresh",69,124,929233,2004,5.3,46
"7",7,"The Adventures of Mark Twain","G","Action",86,"Fresh",80,5,849915,1986,7.1,1239
"8",8,"Deep Blue","G","Documentary",90,"Fresh",67,52,132261,2005,2.9,101
"9",9,"Bandwagon","R","Comedy",103,"Fresh",80,5,44544,1997,7,655
"10",10,"Whore","R","Drama",77,"Rotten",0,6,1008404,1991,5.6,3884
"11",11,"Wild Side","NR","Drama",94,"Fresh",63,16,15355,2005,5.6,2281
"12",12,"A Tale of Two Pizzas","PG","Comedy",82,"Rotten",38,8,14831,2005,5.6,163
"13",13,"Running Scared","R","Action",121,"Rotten",41,131,38500726,1986,7.3,33
"14",14,"Going the Distance","R","Comedy",93,"Rotten",0,5,17804299,2010,7.3,33
"15",15,"Ultraviolet","PG-13","Horror",88,"Rotten",8,83,18535812,2006,5,169
"16",16,"Home of the Brave","R","Action",75,"Fresh",93,15,51708,2006,7,733
"17",17,"Malevolence","R","Horror",90,"Rotten",33,18,127287,2004,5.9,48
"18",18,"Eternal","R","Horror",108,"Rotten",21,34,28089,2005,4.8,1453
"19",19,"The Matador","R","Comedy",97,"Certified-Fresh",75,156,12594698,2005,6.7,45218
"20",20,"Smile","PG-13","Comedy",107,"Rotten",15,13,32833,2005,7.1,2372
"21",21,"Saint Ralph","PG-13","Comedy",98,"Fresh",64,69,489389,2005,7.4,6099
