"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"1",1,"Please Give","R","Comedy",90,"Certified-Fresh",87,142,4033574,2010,6.6,11359,1,0,0,0,0,0,0,0,0,1
"2",2,"Dark Water","PG-13","Art House & International, Horror, Mystery & Suspense",100,"Fresh",80,15,25473352,2005,5.1,199,0,1,0,0,0,1,0,0,1,0
"3",3,"The Accused","R","Drama, Mystery & Suspense",110,"Fresh",91,22,32078318,1988,6.8,960,0,0,0,1,0,0,0,0,1,0
"4",4,"The Lost City","R","Drama",143,"Rotten",25,83,2484186,2006,3.6,32,0,0,0,1,0,0,0,1,0,0
"5",5,"The Bridge of San Luis Rey","PG","Art House & International, Drama, Faith & Spirituality",124,"Rotten",4,24,49981,2005,7,89,0,0,0,1,0,1,0,1,0,0
"6",6,"Criminal","R","Drama, Mystery & Suspense",87,"Fresh",69,124,929233,2004,5.3,46,0,0,0,1,0,0,0,0,1,0
"7",7,"The Adventures of Mark Twain","G","Action & Adventure, Animation, Kids & Family",86,"Fresh",80,5,849915,1986,7.1,1239,0,0,1,0,0,0,0,0,1,0
"8",8,"Deep Blue","G","Documentary, Special Interest",90,"Fresh",67,52,132261,2005,2.9,101,0,0,0,0,0,0,1,0,1,0
"9",9,"Bandwagon","R","Comedy",103,"Fresh",80,5,44544,1997,7,655,1,0,0,0,0,0,0,0,1,0
"10",10,"Whore","R","Art House & International, Drama",77,"Rotten",0,6,1008404,1991,5.6,3884,0,0,0,1,0,1,0,1,0,0
"11",11,"Wild Side","NR","Art House & International, Drama",94,"Fresh",63,16,15355,2005,5.6,2281,0,0,0,1,0,1,0,0,1,0
"12",12,"A Tale of Two Pizzas","PG","Comedy",82,"Rotten",38,8,14831,2005,5.6,163,1,0,0,0,0,0,0,1,0,0
"13",13,"Running Scared","R","Action & Adventure, Drama, Mystery & Suspense",121,"Rotten",41,131,38500726,1986,7.3,33,0,0,1,1,0,0,0,1,0,0
"14",14,"Going the Distance","R","Comedy",93,"Rotten",0,5,17804299,2010,7.3,33,1,0,0,0,0,0,0,1,0,0
"15",15,"Ultraviolet","PG-13","Action & Adventure, Drama, Horror, Science Fiction & Fantasy",88,"Rotten",8,83,18535812,2006,5,169,0,1,1,1,1,0,0,1,0,0
"16",16,"Home of the Brave","R","Action & Adventure, Documentary, Drama, Special Interest",75,"Fresh",93,15,51708,2006,7,733,0,0,1,1,0,0,1,0,1,0
"17",17,"Malevolence","R","Horror",90,"Rotten",33,18,127287,2004,5.9,48,0,1,0,0,0,0,0,1,0,0
"18",18,"Eternal","R","Horror, Mystery & Suspense",108,"Rotten",21,34,28089,2005,4.8,1453,0,1,0,0,0,0,0,1,0,0
"19",19,"The Matador","R","Action & Adventure, Comedy, Drama, Mystery & Suspense",97,"Certified-Fresh",75,156,12594698,2005,6.7,45218,1,0,1,1,0,0,0,0,0,1
"20",20,"Smile","PG-13","Art House & International, Comedy, Drama",107,"Rotten",15,13,32833,2005,7.1,2372,1,0,0,1,0,1,0,1,0,0
"21",21,"Saint Ralph","PG-13","Comedy, Drama",98,"Fresh",64,69,489389,2005,7.4,6099,1,0,0,1,0,0,0,0,1,0
"22",22,"The Baxter","PG-13","Comedy, Romance",91,"Rotten",32,75,181872,2005,6.5,4833,1,0,0,0,0,0,0,1,0,0
"23",23,"Oliver Twist","PG-13","Drama, Kids & Family",130,"Fresh",61,143,2080321,2005,5.2,38,0,0,0,1,0,0,0,0,1,0
"24",24,"G","R","Drama, Romance",96,"Rotten",24,29,3020784,2005,5.2,1434,0,0,0,1,0,0,0,1,0,0
"25",25,"Alfie","PG","Classics, Comedy, Drama, Romance",114,"Fresh",96,27,13399812,2004,7,14804,1,0,0,1,0,0,0,0,1,0
"26",26,"The Second Chance","PG-13","Drama, Faith & Spirituality",104,"Rotten",44,16,463542,2006,6.4,1307,0,0,0,1,0,0,0,1,0,0
"27",27,"Moonlight","R","Drama, Mystery & Suspense",90,"Fresh",60,10,51570,2006,6.9,20,0,0,0,1,0,0,0,0,1,0
"28",28,"Aliens","R","Action & Adventure, Horror, Science Fiction & Fantasy",137,"Certified-Fresh",97,76,85160248,1986,8.4,711979,0,1,1,0,1,0,0,0,0,1
"29",29,"When Do We Eat?","R","Comedy",87,"Rotten",42,38,431513,2006,6.1,15,1,0,0,0,0,0,0,1,0,0
"30",30,"The Mostly Unfabulous Social Life of Ethan Green","R","Comedy, Drama",88,"Rotten",30,27,153122,2006,6,2044,1,0,0,1,0,0,0,1,0,0
"31",31,"Dirty","R","Drama",97,"Rotten",21,28,274245,2006,5.8,134,0,0,0,1,0,0,0,1,0,0
"32",32,"Stay Alive","PG-13","Horror, Mystery & Suspense",85,"Rotten",10,59,23086480,2006,5,32611,0,1,0,0,0,0,0,1,0,0
"33",33,"All of Me","PG","Comedy, Science Fiction & Fantasy",93,"Certified-Fresh",85,41,36403064,1984,5.9,113,1,0,0,0,1,0,0,0,0,1
"34",34,"Dreamland","PG-13","Art House & International, Drama",88,"Fresh",67,15,6383,2006,7.2,8,0,0,0,1,0,1,0,0,1,0
"35",35,"All the King's Men","PG","Classics, Drama",109,"Certified-Fresh",95,42,7221458,2006,7.4,15209,0,0,0,1,0,0,0,0,0,1
"36",36,"Street Fight","NR","Documentary, Special Interest",86,"Fresh",100,22,4779,2006,7.9,2067,0,0,0,0,0,0,1,0,1,0
"37",37,"The Motel","NR","Comedy, Drama",76,"Fresh",88,32,51540,2006,6.6,1402,1,0,0,1,0,0,0,0,1,0
"38",38,"Requiem","NR","Art House & International, Drama, Horror, Mystery & Suspense",92,"Fresh",86,36,9600,2006,7.1,167,0,1,0,1,0,1,0,0,1,0
"39",39,"Bon Cop, Bad Cop","R","Action & Adventure, Comedy",116,"Fresh",78,9,12665721,2006,6.7,12740,1,0,1,0,0,0,0,0,1,0
"40",40,"Amazing Grace","PG","Drama, Mystery & Suspense",116,"Fresh",67,126,21250683,2007,5.7,255,0,0,0,1,0,0,0,0,1,0
"41",41,"The Silence","R","Action & Adventure, Drama, Mystery & Suspense, Television",104,"Rotten",50,6,100214,2013,6.8,46,0,0,1,1,0,0,0,1,0,0
"42",42,"Cocaine Cowboys","R","Documentary",116,"Fresh",69,51,150056,2006,4.1,338,0,0,0,0,0,0,1,0,1,0
"43",43,"Gone","R","Horror, Mystery & Suspense",88,"Rotten",54,13,11682205,2012,6.8,1413,0,1,0,0,0,0,0,1,0,0
"44",44,"The Situation","R","Drama, Mystery & Suspense",106,"Rotten",35,48,48896,2007,6.3,870,0,0,0,1,0,0,0,1,0,0
"45",45,"It's a Boy Girl Thing","PG-13","Comedy, Romance",95,"Fresh",67,9,848,2007,6.2,41386,1,0,0,0,0,0,0,0,1,0
"46",46,"Slipstream","R","Art House & International, Comedy, Drama, Science Fiction & Fantasy",97,"Rotten",25,40,8965,2007,6.7,43,1,0,0,1,1,1,0,1,0,0
"47",47,"Interview","R","Art House & International, Drama",84,"Rotten",58,125,416951,2007,7.9,256,0,0,0,1,0,1,0,1,0,0
"48",48,"American Anthem","PG-13","Action & Adventure, Documentary, Drama",102,"Rotten",0,16,4845724,1986,4.8,1668,0,0,1,1,0,0,1,1,0,0
"49",49,"The Ten","R","Comedy",99,"Rotten",35,82,769726,2007,4.9,16719,1,0,0,0,0,0,0,1,0,0
"50",50,"The Happening","R","Drama, Mystery & Suspense, Science Fiction & Fantasy",89,"Rotten",17,183,64506874,2008,5.2,779,0,0,0,1,1,0,0,1,0,0
"51",51,"Spiral","PG-13","Drama, Mystery & Suspense",90,"Rotten",55,11,8190,2018,6.3,3792,0,0,0,1,0,0,0,1,0,0
"52",52,"Alexandra","NR","Drama",95,"Certified-Fresh",88,59,128222,2008,5.1,12,0,0,0,1,0,0,0,0,0,1
"53",53,"Pathology","R","Drama, Mystery & Suspense",93,"Rotten",45,22,109846,2008,5.9,32492,0,0,0,1,0,0,0,1,0,0
"54",54,"Deep Water","PG","Documentary, Special Interest",93,"Certified-Fresh",96,55,271143,2007,7.8,3172,0,0,0,0,0,0,1,0,0,1
"55",55,"Beverly Hills Chihuahua","PG","Comedy",91,"Rotten",40,99,94514402,2008,3.9,24529,1,0,0,0,0,0,0,1,0,0
"56",56,"Fireflies in the Garden","R","Drama",98,"Rotten",22,54,70600,2011,6.4,13049,0,0,0,1,0,0,0,1,0,0
"57",57,"The Eye","PG-13","Drama, Horror, Mystery & Suspense",97,"Rotten",21,80,31418697,2008,5.4,53814,0,1,0,1,0,0,0,1,0,0
"58",58,"Day of the Dead","R","Horror, Mystery & Suspense",87,"Rotten",13,8,5000000,1985,7.1,69403,0,1,0,0,0,0,0,1,0,0
"59",59,"My Best Friend's Girl","R","Comedy, Drama",103,"Rotten",14,59,19219250,2008,5.8,44505,1,0,0,1,0,0,0,1,0,0
"60",60,"The Lucky Ones","R","Comedy, Drama",115,"Rotten",37,75,266967,2008,6.6,25,1,0,0,1,0,0,0,1,0,0
"61",61,"Closing Escrow","PG","Comedy",95,"Rotten",54,13,8719,2007,5.3,526,1,0,0,0,0,0,0,1,0,0
"62",62,"Whiteout","R","Action & Adventure, Drama, Mystery & Suspense",101,"Rotten",7,116,10275638,2009,5.5,39014,0,0,1,1,0,0,0,1,0,0
"63",63,"Randy and the Mob","PG","Comedy, Documentary",99,"Rotten",56,9,45410,2007,5.8,394,1,0,0,0,0,0,1,1,0,0
"64",64,"Black Irish","R","Drama",94,"Rotten",31,13,6900,2007,6.9,2581,0,0,0,1,0,0,0,1,0,0
"65",65,"King Corn","NR","Documentary, Musical & Performing Arts, Special Interest",90,"Fresh",96,26,105422,2007,7,2031,0,0,0,0,0,0,1,0,1,0
"66",66,"Darfur Now","PG","Documentary, Drama, Musical & Performing Arts, Special Interest",99,"Fresh",73,59,109107,2007,6.7,762,0,0,0,1,0,0,1,0,1,0
"67",67,"Rails & Ties","PG-13","Drama",101,"Rotten",34,47,22136,2007,6.7,4162,0,0,0,1,0,0,0,1,0,0
"68",68,"Mr. Untouchable","R","Documentary",92,"Fresh",73,26,104678,2007,6.6,929,0,0,0,0,0,0,1,0,1,0
"69",69,"House","R","Drama, Horror, Mystery & Suspense",88,"Rotten",0,13,19444631,1986,6.1,27202,0,1,0,1,0,0,0,1,0,0
"70",70,"Canvas","PG-13","Drama",101,"Fresh",78,27,35630,2007,4.3,139,0,0,0,1,0,0,0,0,1,0
"71",71,"Skid Row","R","Documentary, Special Interest",80,"Fresh",83,6,6627,2007,6.4,313,0,0,0,0,0,0,1,0,1,0
"72",72,"Saawariya","PG","Art House & International, Drama, Musical & Performing Arts, Romance",146,"Rotten",38,21,885574,2007,5.2,7951,0,0,0,1,0,1,0,1,0,0
